file_path,emotion,actor
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,1,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,1,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,1,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,1,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,2,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,3,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,4,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,5,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,6,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,7,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,8,1
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,1,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,1,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,1,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,1,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,2,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-01-01-01-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-01-02-01-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-01-02-02-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-02-01-01-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-02-01-02-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-02-02-01-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-03-02-02-02-02.wav,3,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-01-01-01-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-01-01-02-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-01-02-01-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-01-02-02-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,4,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,5,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,6,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,6,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,6,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,6,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,6,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,6,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,6,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,6,2
